Threshold,Accuracy,Balanced Accuracy,Precision,Recall/Sensitivity,Specificity,NPV,F1-macro,ROC-AUC,Brier score
0.155,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.16,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.165,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.17,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.17500000000000002,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.18,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.18262029396826518,0.78125,0.5625,0.7741935483870968,1.0,0.125,1.0,0.5474747474747474,0.875,0.20014339554667712
0.185,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.19,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.195,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.2,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.20500000000000002,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.21,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.215,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.22,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.225,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.23,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.23171798522668857,0.8125,0.625,0.8,1.0,0.25,1.0,0.6444444444444444,0.875,0.20014339554667712
0.23250491836112527,0.84375,0.6875,0.8275862068965517,1.0,0.375,1.0,0.725557461406518,0.875,0.20014339554667712
0.23500000000000001,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.875,0.20014339554667712
0.24,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.875,0.20014339554667712
0.245,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.875,0.20014339554667712
0.25,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.875,0.20014339554667712
0.25183032891739043,0.875,0.75,0.8571428571428571,1.0,0.5,1.0,0.7948717948717949,0.875,0.20014339554667712
0.255,0.84375,0.7291666666666667,0.8518518518518519,0.9583333333333334,0.5,0.8,0.7586726998491704,0.875,0.20014339554667712
0.2571581788271126,0.84375,0.7291666666666667,0.8518518518518519,0.9583333333333334,0.5,0.8,0.7586726998491704,0.875,0.20014339554667712
0.26,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.265,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.27,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.275,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.28,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.28500000000000003,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.29,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.295,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.3,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.305,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.31,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.315,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.31573696445849686,0.8125,0.7083333333333333,0.8461538461538461,0.9166666666666666,0.5,0.6666666666666666,0.7257142857142858,0.875,0.20014339554667712
0.32,0.78125,0.6875,0.84,0.875,0.5,0.5714285714285714,0.6952380952380952,0.875,0.20014339554667712
0.325,0.78125,0.6875,0.84,0.875,0.5,0.5714285714285714,0.6952380952380952,0.875,0.20014339554667712
